129,1,דירה,נחום סוקולוב 74,הצפון הישן,תל אביב יפו,1725000,0
130,4,דירה,דיזנגוף,הצפון הישן,תל אביב יפו,4700000,3
131,5,דירה,החשמונאים,לב העיר,תל אביב יפו,4800000,27
132,1,מגרש למגורים,איינשטיין,הגוש הגדול,תל אביב יפו,1980000,0
133,4,דירה,נחמני,לב העיר,תל אביב יפו,5000000,2
134,3,דירה,הלסינקי,הצפון החדש,תל אביב יפו,3470000,2
135,3.5,דירה,וייצמן,תל אביב,תל אביב יפו,3550000,1
136,5,בית פרטי,טרומפלדור,נווה גנים,בית-דגן,2900000,0
137,4.5,דירה,לוחמי גליפולי,יד אליהו,תל אביב יפו,2650000,2
138,5,דירה,פרוג,יזנגוף,תל אביב יפו,100000,2
139,4,דירת גן,היערה,נוף העמק,מגדל העמק,1370000,0
140,4,דירה,פומבדיתא,הצפון הישן,תל אביב יפו,3800000,3
141,3.5,דירה,מוריץ דניאל,רמת אביב,תל אביב יפו,2900000,3
142,3.5,דירה,המלך ג'ורג',הצפון הישן,תל אביב יפו,3500000,2
143,2,דירה,דרך יפו תל אביב 13,נווה צדק,תל אביב יפו,2400000,3
144,4,דירה,ניסים אלוני,פארק צמרת,תל אביב יפו,7000000,11
145,3,דירה,מלצ'ט,לב העיר,תל אביב יפו,3590000,1
146,3,דירה,אליהו ברלין,אזורי חן,תל אביב יפו,3200000,3
147,2,דירה,הרצל רוזנבלום,תל ברוך צפון,תל אביב יפו,2650000,1
148,4,דירה,עמיחי פאגלין,רמת אביב,תל אביב יפו,4200000,5
149,2.5,דירה,בן יהודה,הצפון הישן,תל אביב יפו,2950000,4
150,3,דירה,מלצ'ט,לב העיר,תל אביב יפו,3590000,1
151,7,פנטהאוז,אברהם בויאר,הצפון הישן,תל אביב יפו,4650000,16
152,3,דירת גן,דרך הגבורה,ביצרון,תל אביב יפו,2000000,0
153,6.5,בית פרטי,דרך השלום,ביצרון,תל אביב יפו,500000,0
154,5.5,דירה,חנה רובינא,תל ברוך צפון,תל אביב יפו,3950000,5
155,5,דירה,דולצ'ין,הצפון הישן,תל אביב יפו,3950000,4
156,4,דירה,אמיר גלבוע,הגוש הגדול,תל אביב יפו,3950000,4
157,3,דירה,ניסים אלוני,מתחם פארק צמרת,תל אביב יפו,3950000,9
158,4,דירה,ניסים אלוני,מתחם פארק צמרת,תל אביב יפו,3750000,23
159,5,מגרש למגורים,2040,הצפון החדש,תל אביב יפו,1650000,0
160,5,מגרש למגורים,2040,תוכנית 3700,תל אביב יפו,1650000,0
161,3,דופלקס,רבן גמליאל,כרם התימנים,תל אביב יפו,4490000,2
162,2,דירה,Shartava 10,הצפון הישן,Batumi,76000,33
163,2,דירה להחלפה,ישעיהו,הצפון הישן,תל אביב,1700000,0
164,5.5,דופלקס,משה קול,המשתלה,תל אביב יפו,5650000,0
165,1,דירה,"אפ""ק",מתחם נגה,יפו,5500000,0
166,5.5,דירה,מאיר יערי,איזורי חן,תל אביב יפו,4900000,20
167,4,פנטהאוז,בלפור רוטשילד,רוטשילד,תל אביב יפו,8100000,5
168,3,מגרש למגורים,בית לחם,הצפון הישן,תל אביב,2415000,2
169,4,דירה,דוד המלך,הר השלום,בני ברק,1740000,2
170,3.5,דירה,שדרות רוטשילד,הצפון הישן,תל אביב יפו,8600000,10
171,4,דירה,ארתור רובינשטיין,הגוש הגדול,תל אביב יפו,3700000,3
172,2,דירה,ישעיהו,הצפון הישן,תל אביב יפו,2100000,0
173,5,דירת גג,המשנה,בבלי,תל אביב יפו,5950000,4
174,2,דירה,בני אפרים,צהלה,תל אביב יפו,2680000,3
175,4,דירה,פנקס 50,פנקס,תל אביב יפו,5800000,13
176,5,דירה,פרופ יובל נאמן,למד החדשה,תל אביב יפו,4360000,5
177,3,דירה,דרך מנחם בגין,מונטיפיורי,תל אביב יפו,3100000,14
178,3,דירה,ישעיהו,הצפון הישן,תל אביב יפו,3950000,2
179,4,דירה,דרך זאב ז'בוטינסקי,פרדס כץ,בני ברק,1750000,4
180,3,דירת גן,ישראליס,הצפון הישן,תל אביב יפו,3200000,0
181,5,פנטהאוז,יבנה,לב העיר,תל אביב יפו,8000000,3
182,5,דירה,סמולנסקין,הצפון הישן,תל אביב יפו,7000000,2
183,4,דירה,דולצ'ין,רמת אביב החדשה,תל אביב יפו,3939000,3
184,4,דירה,אדירים,הצפון הישן,תל אביב יפו,2700000,1
185,4.5,דירה,לוחמי גליפולי,יד אליהו,תל אביב יפו,2800000,1
186,2.5,דירה,כורזים,נווה שרת,תל אביב יפו,1700000,3
187,3,דירה,חובבי ציון,מרכז,תל אביב יפו,4300000,3
188,3,דירה,דוד אלרואי,רמב``ם,ראשון לציון,1300000,1
189,5,דירה,רוטשילד,מרכז,פתח תקווה,2345000,5
190,4,דירה,הגלים,נווה ים,ראשון לציון,1925000,4
191,4.5,דופלקס,לוין קיפניס,המשתלה,תל אביב יפו,4800000,7
192,2,דירה,בורוכוב,לב העיר,תל אביב יפו,2950000,2
193,4.5,דירת גן,גרשון ש''ץ,מונטיפיורי,תל אביב יפו,4800000,0
194,4,דירה,צבי הרמן שפירא,מרכז תל אביב,תל אביב יפו,4100000,2
195,4,דירה,פנקס 50,פנקס,תל אביב יפו,6150000,13
196,3,דירה,אנגל,לב העיר,תל אביב יפו,5300000,3
197,2,דירה,של״ג רופין Shalag,קרוב לים,תל אביב יפו,2600000,1
198,4.5,דירה,לוחמי גליפולי,יד אליהו,תל אביב יפו,2780000,1
199,3.5,דירה,קיבוץ גלויות 113,לסקר,תל אביב יפו,66666660,1
200,3,דירה,בורוכוב,הבימה,תל אביב יפו,3850000,1
201,4,דירה,רקנאטי,רמת אביב ג,תל אביב יפו,36500000,4
202,3,דירה,שלמה המלך,הצפון הישן,תל אביב יפו,5250000,4
203,5,דופלקס,שכונת הראשונים,מתחם הבורסה,רמת גן,3750000,6
204,4,דירה,הצלע,נחלת יצחק,רמת גן,3900000,21
205,3,דירה,הצלע 7,מגדלי סיטי פארק,רמת גן,2900000,2
206,4,דירה,"אמנון ותמר פינת הרא""ה",תל יהודה,רמת גן,2700000,1
207,3.5,דירה,חרות,הגפן,רמת גן,3750000,5
208,5,דירה,שמעון בן צבי,בן צבי,גבעתיים,5000000,5
209,5,דירת גג,קארו,שיכון המזרחי,רמת גן,4000000,5
210,5,דירת גג,הדגנים,גבעת רמב``ם,גבעתיים,5000000,5
211,5,דירה,המפנה,שיינקין,גבעתיים,4500000,3
212,4,דירה,עציון,יד לבנים,רמת גן,3200000,5
213,4,דירה,עציון,יד לבנים,רמת גן,4000000,5
214,4,דירה,אסף,חרוזים,רמת גן,2460000,4
